27/08/15,MAR-CAN TRANSPORT CO. INC, 2.1 ,NEW DAWN TRANSIT, LLC B2, 2.0 ,BORO TRANSIT INC., 2.0 ,LOGAN BUS COMPANY INC., 1.8 ,CAREFUL BUS, 1.0)
03/09/15,PIONEER TRANSPORTATION CO, 26.9 ,RELIANT TRANS INC. B232, 26.4 ,LEESEL TRANSP CORP B2192, 21.4 ,G.V.C. LTD., 20.2 ,BORO TRANSIT INC., 19.2)
10/09/15,LEESEL TRANSP CORP B2192, 53.2 ,PIONEER TRANSPORTATION CO, 40.5 ,G.V.C. LTD., 34.4 ,RELIANT TRANS INC. B232, 31.3 ,BORO TRANSIT INC., 24.8)
17/09/15,G.V.C. LTD., 70.3 ,PIONEER TRANSPORTATION CO, 43.9 ,BORO TRANSIT INC., 35.6 ,LEESEL TRANSP CORP B2192, 29.4 ,NEW DAWN TRANSIT, LLC B2, 26.4)
24/09/15,G.V.C. LTD., 40.4 ,RELIANT TRANS INC. B232, 37.0 ,PIONEER TRANSPORTATION CO, 33.0 ,NEW DAWN TRANSIT, LLC B2, 25.1 ,MAR-CAN TRANSPORT CO. INC, 23.7)
01/10/15,G.V.C. LTD., 65.3 ,PIONEER TRANSPORTATION CO, 55.1 ,NEW DAWN TRANSIT, LLC B2, 35.5 ,MAR-CAN TRANSPORT CO. INC, 22.5 ,RELIANT TRANS INC. B232, 20.5)
08/10/15,G.V.C. LTD., 56.9 ,NEW DAWN TRANSIT, LLC B2, 38.0 ,PIONEER TRANSPORTATION CO, 32.8 ,MAR-CAN TRANSPORT CO. INC, 32.5 ,HAPPY CHILD TRANS LLC B2, 29.4)
15/10/15,G.V.C. LTD., 72.4 ,LEESEL TRANSP CORP B2192, 49.0 ,NEW DAWN TRANSIT, LLC B2, 37.3 ,RELIANT TRANS INC. B232, 33.7 ,PIONEER TRANSPORTATION CO, 28.1)
22/10/15,G.V.C. LTD., 79.7 ,LEESEL TRANSP CORP B2192, 72.4 ,PIONEER TRANSPORTATION CO, 48.5 ,BORO TRANSIT INC., 36.5 ,NEW DAWN TRANSIT, LLC B2, 36.2)
29/10/15,LEESEL TRANSP CORP B2192, 54.3 ,G.V.C. LTD., 43.3 ,PIONEER TRANSPORTATION CO, 27.2 ,NEW DAWN TRANSIT, LLC B2, 24.0 ,HAPPY CHILD TRANS LLC B2, 22.7)
05/11/15,LEESEL TRANSP CORP B2192, 59.8 ,PIONEER TRANSPORTATION CO, 28.0 ,G.V.C. LTD., 28.0 ,HAPPY CHILD TRANS LLC B2, 23.2 ,NEW DAWN TRANSIT, LLC B2, 22.7)
12/11/15,LEESEL TRANSP CORP B2192, 66.1 ,G.V.C. LTD., 44.5 ,NEW DAWN TRANSIT, LLC B2, 33.1 ,RELIANT TRANS INC. B232, 33.1 ,BORO TRANSIT INC., 32.3)
19/11/15,LEESEL TRANSP CORP B2192, 58.8 ,G.V.C. LTD., 50.4 ,NEW DAWN TRANSIT, LLC B2, 46.6 ,PIONEER TRANSPORTATION CO, 26.5 ,HAPPY CHILD TRANS LLC B2, 26.3)
26/11/15,LEESEL TRANSP CORP B2192, 40.9 ,G.V.C. LTD., 32.8 ,PIONEER TRANSPORTATION CO, 31.8 ,BORO TRANSIT INC., 22.2 ,RELIANT TRANS INC. B232, 20.5)
03/12/15,LEESEL TRANSP CORP B2192, 62.5 ,G.V.C. LTD., 47.7 ,RELIANT TRANS INC. B232, 31.1 ,NEW DAWN TRANSIT, LLC B2, 28.9 ,PIONEER TRANSPORTATION CO, 28.3)
10/12/15,G.V.C. LTD., 55.9 ,LEESEL TRANSP CORP B2192, 42.4 ,NEW DAWN TRANSIT, LLC B2, 39.9 ,PIONEER TRANSPORTATION CO, 33.9 ,HAPPY CHILD TRANS LLC B2, 21.4)
17/12/15,NEW DAWN TRANSIT, LLC B2, 58.1 ,G.V.C. LTD., 49.7 ,PIONEER TRANSPORTATION CO, 33.6 ,RELIANT TRANS INC. B232, 27.0 ,HAPPY CHILD TRANS LLC B2, 15.9)
24/12/15,HAPPY CHILD TRANS LLC B2, 1.8 ,LORISSA BUS SERVICE INC., 0.5 ,BORO TRANSIT INC., 0.5 ,B & F SKILLED INC.B2192), 0.3 ,QUALITY TRANSPORTATION CO, 0.3)
31/12/15,LITTLE RICHIE BUS SERVICE, 32.0 ,PIONEER TRANSPORTATION CO, 31.2 ,NEW DAWN TRANSIT, LLC B2, 30.3 ,RELIANT TRANS INC. B232, 29.2 ,G.V.C. LTD., 24.2)
07/01/16,NEW DAWN TRANSIT, LLC B2, 54.3 ,G.V.C. LTD., 35.7 ,PIONEER TRANSPORTATION CO, 32.1 ,LEESEL TRANSP CORP B2192, 29.5 ,RELIANT TRANS INC. B232, 29.4)
14/01/16,NEW DAWN TRANSIT, LLC B2, 33.2 ,PIONEER TRANSPORTATION CO, 33.0 ,G.V.C. LTD., 27.6 ,LITTLE RICHIE BUS SERVICE, 18.1 ,RELIANT TRANS INC. B232, 16.7)
21/01/16,PIONEER TRANSPORTATION CO, 125.7 ,NEW DAWN TRANSIT, LLC B2, 71.1 ,G.V.C. LTD., 59.6 ,RELIANT TRANS INC. B232, 57.7 ,BORO TRANSIT INC., 47.3)
28/01/16,G.V.C. LTD., 44.5 ,PIONEER TRANSPORTATION CO, 42.7 ,NEW DAWN TRANSIT, LLC B2, 40.5 ,RELIANT TRANS INC. B232, 34.7 ,LITTLE RICHIE BUS SERVICE, 21.3)
04/02/16,RELIANT TRANS INC. B232, 43.0 ,NEW DAWN TRANSIT, LLC B2, 41.7 ,PIONEER TRANSPORTATION CO, 40.7 ,G.V.C. LTD., 39.4 ,LEESEL TRANSP CORP B2192, 26.3)
11/02/16,G.V.C. LTD., 19.6 ,LEESEL TRANSP CORP B2192, 13.8 ,LITTLE RICHIE BUS SERVICE, 13.3 ,NEW DAWN TRANSIT, LLC B2, 12.8 ,PIONEER TRANSPORTATION CO, 10.5)
