01/09/15, AM : 5:00-11:59,(Heavy Traffic=4, Other=3)
02/09/15, AM : 5:00-11:59,(Heavy Traffic=21, Other=7, Problem Run=2),PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
03/09/15, AM : 5:00-11:59,(Heavy Traffic=13, Other=2, Mechanical Problem=1),PM : 12:00-19:00,(Heavy Traffic=1)
04/09/15, AM : 5:00-11:59,(Heavy Traffic=4, Other=4, Won`t Start=1),PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
08/09/15, AM : 5:00-11:59,(Heavy Traffic=65, Other=21, Mechanical Problem=9),PM : 12:00-19:00,(Delayed by School=8, Heavy Traffic=3, Other=3)
09/09/15, AM : 5:00-11:59,(Heavy Traffic=407, Other=65, Mechanical Problem=25),PM : 12:00-19:00,(Delayed by School=20, Heavy Traffic=14, Other=13)
10/09/15, AM : 5:00-11:59,(Heavy Traffic=308, Weather Conditions=54, Other=35),PM : 12:00-19:00,(Heavy Traffic=28, Other=8, Mechanical Problem=7)
11/09/15, AM : 5:00-11:59,(Heavy Traffic=269, Other=29, Mechanical Problem=8),PM : 12:00-19:00,(Heavy Traffic=27, Other=9, Mechanical Problem=5)
14/09/15, AM : 5:00-11:59,(Heavy Traffic=12, Other=2, Mechanical Problem=1),PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
15/09/15, AM : 5:00-11:59,(Heavy Traffic=22, Other=3),PM : 12:00-19:00,(Heavy Traffic=1)
16/09/15, AM : 5:00-11:59,(Heavy Traffic=317, Other=72, Problem Run=17),PM : 12:00-19:00,(Heavy Traffic=26, Other=19, Mechanical Problem=6)
17/09/15, AM : 5:00-11:59,(Heavy Traffic=277, Other=34, Problem Run=20),PM : 12:00-19:00,(Heavy Traffic=27, Other=6, Delayed by School=4)
18/09/15, AM : 5:00-11:59,(Heavy Traffic=226, Other=30, Problem Run=11),PM : 12:00-19:00,(Heavy Traffic=22, Other=14, Delayed by School=4)
21/09/15, AM : 5:00-11:59,(Heavy Traffic=215, Other=47, Mechanical Problem=17),PM : 12:00-19:00,(Other=20, Heavy Traffic=11, Delayed by School=6)
22/09/15, AM : 5:00-11:59,(Heavy Traffic=169, Other=27, Problem Run=22),PM : 12:00-19:00,(Other=12, Heavy Traffic=8, Delayed by School=3)
