27/08/15, AM : 5:00-11:59,(Heavy Traffic=25, Other=10, Problem Run=2), PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
03/09/15, AM : 5:00-11:59,(Heavy Traffic=489, Other=92, Mechanical Problem=35), PM : 12:00-19:00,(Delayed by School=28, Heavy Traffic=19, Other=17)
10/09/15, AM : 5:00-11:59,(Heavy Traffic=928, Other=141, Weather Conditions=54), PM : 12:00-19:00,(Heavy Traffic=83, Other=37, Mechanical Problem=18)
17/09/15, AM : 5:00-11:59,(Heavy Traffic=895, Other=140, Problem Run=60), PM : 12:00-19:00,(Heavy Traffic=68, Other=55, Delayed by School=17)
24/09/15, AM : 5:00-11:59,(Heavy Traffic=819, Other=189, Problem Run=61), PM : 12:00-19:00,(Heavy Traffic=52, Other=25, Delayed by School=7)
01/10/15, AM : 5:00-11:59,(Heavy Traffic=847, Other=219, Problem Run=81), PM : 12:00-19:00,(Heavy Traffic=77, Other=46, Delayed by School=19)
08/10/15, AM : 5:00-11:59,(Heavy Traffic=866, Other=207, Problem Run=59), PM : 12:00-19:00,(Heavy Traffic=74, Other=43, Late return from Field Trip=31)
15/10/15, AM : 5:00-11:59,(Heavy Traffic=1002, Other=340, Problem Run=57), PM : 12:00-19:00,(Heavy Traffic=80, Other=28, Late return from Field Trip=18)
22/10/15, AM : 5:00-11:59,(Heavy Traffic=1151, Other=319, Mechanical Problem=60), PM : 12:00-19:00,(Heavy Traffic=126, Late return from Field Trip=74, Other=68)
29/10/15, AM : 5:00-11:59,(Heavy Traffic=750, Other=215, Mechanical Problem=52), PM : 12:00-19:00,(Heavy Traffic=67, Other=29, Late return from Field Trip=16)
05/11/15, AM : 5:00-11:59,(Heavy Traffic=716, Other=182, Mechanical Problem=36), PM : 12:00-19:00,(Heavy Traffic=57, Other=52, Late return from Field Trip=19)
12/11/15, AM : 5:00-11:59,(Heavy Traffic=931, Other=264, Mechanical Problem=53), PM : 12:00-19:00,(Heavy Traffic=98, Other=73, Late return from Field Trip=28)
19/11/15, AM : 5:00-11:59,(Heavy Traffic=839, Other=192, Mechanical Problem=58), PM : 12:00-19:00,(Heavy Traffic=121, Other=70, Late return from Field Trip=32)
26/11/15, AM : 5:00-11:59,(Heavy Traffic=675, Other=145, Weather Conditions=80), PM : 12:00-19:00,(Heavy Traffic=82, Other=42, Late return from Field Trip=25)
03/12/15, AM : 5:00-11:59,(Heavy Traffic=839, Other=213, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=120, Other=39, Late return from Field Trip=29)
10/12/15, AM : 5:00-11:59,(Heavy Traffic=787, Other=189, Mechanical Problem=32), PM : 12:00-19:00,(Heavy Traffic=113, Late return from Field Trip=38, Other=32)
17/12/15, AM : 5:00-11:59,(Heavy Traffic=596, Other=169, Mechanical Problem=41), PM : 12:00-19:00,(Heavy Traffic=117, Late return from Field Trip=59, Other=56)
24/12/15, AM : 5:00-11:59,(Heavy Traffic=6, Mechanical Problem=3, Weather Conditions=1), PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
31/12/15, AM : 5:00-11:59,(Heavy Traffic=547, Other=201, Won`t Start=80), PM : 12:00-19:00,(Heavy Traffic=44, Other=25, Mechanical Problem=12)
07/01/16, AM : 5:00-11:59,(Heavy Traffic=873, Other=251, Mechanical Problem=45), PM : 12:00-19:00,(Heavy Traffic=65, Other=39, Mechanical Problem=10)
14/01/16, AM : 5:00-11:59,(Heavy Traffic=519, Other=179, Mechanical Problem=65), PM : 12:00-19:00,(Heavy Traffic=71, Other=21, Late return from Field Trip=17)
21/01/16, AM : 5:00-11:59,(Weather Conditions=1028, Heavy Traffic=973, Other=268), PM : 12:00-19:00,(Heavy Traffic=111, Weather Conditions=39, Other=34)
28/01/16, AM : 5:00-11:59,(Heavy Traffic=836, Other=220, Mechanical Problem=52), PM : 12:00-19:00,(Heavy Traffic=67, Other=38, Late return from Field Trip=10)
04/02/16, AM : 5:00-11:59,(Heavy Traffic=579, Weather Conditions=406, Other=157), PM : 12:00-19:00,(Heavy Traffic=54, Other=24, Late return from Field Trip=22)
11/02/16, AM : 5:00-11:59,(Heavy Traffic=273, Other=89, Mechanical Problem=26), PM : 12:00-19:00,(Heavy Traffic=42, Late return from Field Trip=20, Other=7)
18/02/16, AM : 5:00-11:59,(Heavy Traffic=467, Other=144, Mechanical Problem=46), PM : 12:00-19:00,(Heavy Traffic=59, Other=17, Late return from Field Trip=10)
25/02/16, AM : 5:00-11:59,(Heavy Traffic=652, Other=202, Problem Run=52), PM : 12:00-19:00,(Heavy Traffic=74, Other=39, Late return from Field Trip=22)
03/03/16, AM : 5:00-11:59,(Heavy Traffic=573, Other=226, Mechanical Problem=38), PM : 12:00-19:00,(Heavy Traffic=45, Other=39, Late return from Field Trip=17)
10/03/16, AM : 5:00-11:59,(Heavy Traffic=795, Other=212, Mechanical Problem=25), PM : 12:00-19:00,(Heavy Traffic=117, Other=41, Late return from Field Trip=19)
17/03/16, AM : 5:00-11:59,(Heavy Traffic=656, Other=246, Mechanical Problem=32), PM : 12:00-19:00,(Heavy Traffic=66, Late return from Field Trip=30, Other=23)
24/03/16, AM : 5:00-11:59,(Heavy Traffic=455, Other=179, Weather Conditions=47), PM : 12:00-19:00,(Heavy Traffic=55, Other=27, Mechanical Problem=10)
31/03/16, AM : 5:00-11:59,(Heavy Traffic=752, Other=216, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=73, Late return from Field Trip=39, Other=24)
07/04/16, AM : 5:00-11:59,(Heavy Traffic=797, Other=185, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=104, Late return from Field Trip=63, Other=26)
14/04/16, AM : 5:00-11:59,(Heavy Traffic=629, Other=242, Mechanical Problem=39), PM : 12:00-19:00,(Heavy Traffic=129, Late return from Field Trip=75, Other=45)
21/04/16, AM : 5:00-11:59,(Heavy Traffic=218, Other=78, Won`t Start=18), PM : 12:00-19:00,(Heavy Traffic=76, Late return from Field Trip=58, Mechanical Problem=12)
28/04/16, AM : 5:00-11:59,(Heavy Traffic=575, Other=118, Weather Conditions=96), PM : 12:00-19:00,(Heavy Traffic=72, Late return from Field Trip=33, Other=20)
05/05/16, AM : 5:00-11:59,(Heavy Traffic=698, Other=168, Weather Conditions=74), PM : 12:00-19:00,(Heavy Traffic=154, Late return from Field Trip=62, Other=34)
12/05/16, AM : 5:00-11:59,(Heavy Traffic=608, Other=189, Mechanical Problem=36), PM : 12:00-19:00,(Heavy Traffic=230, Late return from Field Trip=137, Other=39)
19/05/16, AM : 5:00-11:59,(Heavy Traffic=796, Other=144, Weather Conditions=57), PM : 12:00-19:00,(Late return from Field Trip=127, Heavy Traffic=116, Other=42)
